col_1,col_2,col_3,nom_commune,longitude,latitude
boyeux-saint-jerome,BOYEUX-SAINT-JEROME,boyeux saint jerome,Boyeux-Saint-Jérôme,5.46667,46.0333
chateau-gaillard,CHATEAU-GAILLARD,chateau gaillard,Château-Gaillard,5.3,45.9667
premeyzel,PREMEYZEL,premeyzel,Prémeyzel,5.65,45.6833
arandas,ARANDAS,arandas,Arandas,5.48333,45.9
chatenay-01,CHATENAY,chatenay,Châtenay,5.2,46.0333
innimond,INNIMOND,innimond,Innimond,5.56667,45.7833
boz,BOZ,boz,Boz,4.9,46.4
briord,BRIORD,briord,Briord,5.46667,45.7833
reyrieux,REYRIEUX,reyrieux,Reyrieux,4.81667,45.9333
matafelon-granges,MATAFELON-GRANGES,matafelon granges,Matafelon-Granges,5.56667,46.2667
drom,DROM,drom,Drom,5.36667,46.2167
chatillon-en-michaille,CHATILLON-EN-MICHAILLE,chatillon en michaille,Châtillon-en-Michaille,5.78333,46.1333
polliat,POLLIAT,polliat,Polliat,5.13333,46.25
vesancy,VESANCY,vesancy,Vesancy,6.08333,46.35
massieux,MASSIEUX,massieux,Massieux,4.83333,45.9167
saint-cyr-sur-menthon,SAINT-CYR-SUR-MENTHON,saint cyr sur menthon,Saint-Cyr-sur-Menthon,4.98333,46.2667
serrieres-sur-ain,SERRIERES-SUR-AIN,serrieres sur ain,Serrières-sur-Ain,5.45,46.15
nivollet-montgriffon,NIVOLLET-MONTGRIFFON,nivollet montgriffon,Nivollet-Montgriffon,5.43333,45.9833
izernore,IZERNORE,izernore,Izernore,5.55,46.2167
saint-nizier-le-desert,SAINT-NIZIER-LE-DESERT,saint nizier le desert,Saint-Nizier-le-Désert,5.15,46.05
guereins,GUEREINS,guereins,Guéreins,4.78333,46.1
illiat,ILLIAT,illiat,Illiat,4.88333,46.1833
trancliere,LA TRANCLIERE,la trancliere,La Tranclière,5.26667,46.1167
saint-didier-de-formans,SAINT-DIDIER-DE-FORMANS,saint didier de formans,Saint-Didier-de-Formans,4.78333,45.95
merignat,MERIGNAT,merignat,Mérignat,5.43333,46.0667
saint-eloi-01,SAINT-ELOI,saint eloi,Saint-Éloi,5.15,45.9333
chapelle-du-chatelard,LA CHAPELLE-DU-CHATELARD,la chapelle du chatelard,La Chapelle-du-Châtelard,5.03333,46.0667
saint-jean-de-niost,SAINT-JEAN-DE-NIOST,saint jean de niost,Saint-Jean-de-Niost,5.21667,45.8333
savigneux-01,SAVIGNEUX,savigneux,Savigneux,4.85,46
nattages,NATTAGES,nattages,Nattages,5.76667,45.7333
saint-benoît-01,SAINT-BENOIT,saint benoit,Saint-Benoît,5.58333,45.7
douvres,DOUVRES,douvres,Douvres,5.36667,45.9833
francheleins,FRANCHELEINS,francheleins,Francheleins,4.8,46.0667
dortan,DORTAN,dortan,Dortan,5.66667,46.3167
saint-germain-les-paroisses,SAINT-GERMAIN-LES-PAROISSES,saint germain les paroisses,Saint-Germain-les-Paroisses,5.61667,45.7667
miribel-01,MIRIBEL,miribel,Miribel,4.95306,45.8245
lancrans,LANCRANS,lancrans,Lancrans,5.83333,46.1333
echenevex,ECHENEVEX,echenevex,Échenevex,6.03333,46.3167
saint-jean-sur-veyle,SAINT-JEAN-SUR-VEYLE,saint jean sur veyle,Saint-Jean-sur-Veyle,4.91667,46.25
billiat,BILLIAT,billiat,Billiat,5.78333,46.0667
abergement-de-varey,L'ABERGEMENT-DE-VAREY,l abergement de varey,L'Abergement-de-Varey,5.41667,46
villeneuve-01,VILLENEUVE,villeneuve,Villeneuve,4.83667,46.0212
villars-les-dombes,VILLARS-LES-DOMBES,villars les dombes,Villars-les-Dombes,5.01667,46
thezillieu,THEZILLIEU,thezillieu,Thézillieu,5.6,45.8833
saint-etienne-sur-reyssouze,SAINT-ETIENNE-SUR-REYSSOUZE,saint etienne sur reyssouze,Saint-Étienne-sur-Reyssouze,5,46.4
souclin,SOUCLIN,souclin,Souclin,5.41667,45.8667
