nom_com,nom_com_m,insee_com,statut,population,insee_arr,insee_dep,insee_reg,code_epci,X_COORD,Y_COORD,latitude,longitude
Willeroncourt,WILLERONCOURT,55581,Commune simple,107,1,55,44,200066157,873441.676661,6848632.83858,48.716778,5.367962
Val de Louyre et Caudeau,VAL DE LOUYRE ET CAUDEAU,24362,Commune simple,1588,3,24,75,200040392,526455.067419,6432430.75978,44.999948,0.815954
Parves et Nattages,PARVES ET NATTAGES,01286,Commune simple,942,1,01,84,200040350,913481.10177,6518317.54895,45.742352,5.732894
Tréal,TREAL,56253,Commune simple,640,3,56,53,200066785,309066.054671,6761001.06,47.839905,-2.219976
Marsalès,MARSALES,24257,Commune simple,234,1,24,75,200034833,532931.161148,6402336.25217,44.688876,0.887134
Tourliac,TOURLIAC,47311,Commune simple,135,3,47,75,200036523,526181.006684,6400791.18764,44.684674,0.80878
Le Gua,LE GUA,38187,Commune simple,1779,1,38,84,200040715,906035.507869,6438354.98904,45.026342,5.646836
Villac,VILLAC,24580,Commune simple,266,4,24,75,200041150,562444.902216,6455388.10757,45.213684,1.230123
Montagnac-d'Auberoche,MONTAGNAC-D'AUBEROCHE,24284,Commune simple,146,4,24,75,200041150,539303.112505,6456356.82038,45.183421,0.956956
Chourgnac,CHOURGNAC,24121,Commune simple,60,4,24,75,200041150,547322.457428,6461355.99667,45.236329,1.05994
Saint-Paul-de-Serre,SAINT-PAUL-DE-SERRE,24480,Commune simple,280,3,24,75,200040392,513861.15605,6445256.04873,45.069536,0.65219
Sarliac-sur-l'Isle,SARLIAC-SUR-L'ISLE,24521,Commune simple,1020,3,24,75,200040392,532607.851225,6462370.87345,45.238561,0.8749
Annonville,ANNONVILLE,52012,Commune simple,32,3,52,44,200044253,868075.0911469999,6811981.01371,48.384059,5.268813
Cry,CRY,89132,Commune simple,170,2,89,27,200039642,792100.9024839998,6734394.24606,47.707741,4.239638
Valleret,VALLERET,52502,Commune simple,61,3,52,44,200068666,848553.0740839998,6822677.22683,48.485981,4.998568
Chalagnac,CHALAGNAC,24094,Commune simple,435,3,24,75,200040392,517588.420758,6446401.89726,45.096725,0.689385
Vergranne,VERGRANNE,25602,Commune simple,108,1,25,27,242504447,955653.9334630001,6706482.55784,47.409053,6.391498
Capelle-lès-Hesdin,CAPELLE-LES-HESDIN,62212,Commune simple,485,4,62,32,200044030,628099.741818,7028191.23143,50.338493,2.000447
Monsaguel,MONSAGUEL,24282,Commune simple,152,1,24,75,200040889,507813.679494,6407386.98109,44.740116,0.589871
Carves,CARVES,24084,Commune simple,104,4,24,75,200041051,546594.354208,6411494.4939,44.786621,1.065809
Marignac,MARIGNAC,82103,Commune simple,111,1,82,76,248200065,532483.544356,6306953.96145,43.842317,0.908391
Daubeuf-la-Campagne,DAUBEUF-LA-CAMPAGNE,27201,Commune simple,233,2,27,28,242700607,556398.841106,6900581.90532,49.187766,1.030823
Baneuil,BANEUIL,24023,Commune simple,347,1,24,75,200034833,517783.4894,6419728.54707,44.841023,0.692657
Zimmersheim,ZIMMERSHEIM,68386,Commune simple,1016,4,68,44,200066009,1028398.76711,6744490.14747,47.721717,7.392302
Paunat,PAUNAT,24318,Commune simple,308,3,24,75,200040392,530665.169929,6424966.4379,44.912613,0.840178
Aubigny,AUBIGNY,14025,Commune simple,308,2,14,28,241400514,464351.765791,6873069.02137,48.920654,-0.212695
Cause-de-Clérans,CAUSE-DE-CLERANS,24088,Commune simple,345,1,24,75,200034833,516228.806813,6422067.56865,44.866391,0.674451
Couze-et-Saint-Front,COUZE-ET-SAINT-FRONT,24143,Commune simple,716,1,24,75,200034833,519973.066786,6416627.77404,44.832513,0.7391
Le Béage,LE BEAGE,07026,Commune simple,255,1,07,84,200072007,789278.262734,6417988.7855,44.849294,4.119711
Levoncourt,LEVONCOURT,68181,Commune simple,240,1,68,44,200066041,1015907.55081,6713588.26146,47.450356,7.201882
Lannebert,LANNEBERT,22112,Commune simple,443,2,22,53,200069086,257774.014938,6855766.05414,48.64329,-3.000294
Urval,URVAL,24560,Commune simple,114,1,24,75,200034833,537151.908288,6413264.08514,44.796864,0.94714
Mauzac-et-Grand-Castang,MAUZAC-ET-GRAND-CASTANG,24260,Commune simple,864,1,24,75,200034833,524743.350996,6422780.8284,44.89694,0.757951
Creil,CREIL,60175,Commune simple,35657,4,60,32,200068047,662437.506809,6906068.66291,49.25487,2.48155
Luçay-le-Mâle,LUCAY-LE-MALE,36103,Commune simple,1366,2,36,24,200040558,580724.658244,6669542.70971,47.123927,1.367462
